Dp,Rcn,Rccn
58.18,15.842306721513761,1.800720288115246
59.1,13.321715884805785,2.4009603841536613
60.03,17.882847067796384,2.280912364945978
60.98,18.12291428811665,3.0012004801920766
61.94,21.123819384079788,4.6818727490996395
62.92,18.12291428811665,3.361344537815126
63.91,23.28454540930376,2.7611044417767108
64.93,21.96409432975216,2.7611044417767108
65.96,20.763704432278818,2.881152460984394
67.01,21.003780874677396,3.8415366146458583
68.08,21.96409432975216,3.8415366146458583
69.16,19.683369952050278,3.601440576230492
70.27,20.163516688619488,2.4009603841536613
71.39,22.924420081861328,4.561824729891956
72.54,26.105586972733413,5.88235294117647
73.7,25.32528826398495,5.042016806722689
74.89,24.965153136707947,5.642256902761105
76.09,26.28565705850483,5.642256902761105
77.32,24.845108478600125,6.482593037214886
78.57,25.56537930963784,8.043217286914766
79.85,29.40694057993608,10.084033613445378
81.14,28.446531813576453,13.68547418967587
82.46,26.045563706892242,11.884753901560623
83.8,28.206431543785754,16.686674669867948
85.17,27.005941725350592,13.565426170468188
86.56,26.16561028661585,19.087635054021607
87.98,27.966332042703655,22.328931572629052
89.42,26.4057040225599,26.050420168067227
90.9,27.125989842416654,20.048019207683073
92.39,31.327795012351988,23.769507803121247
93.92,27.366086653062233,24.849939975990395
95.47,25.32528826398495,28.09123649459784
97.06,27.84628258042661,26.17046818727491
98.67,26.88589380045476,26.290516206482593
100.32,24.845108478600125,27.25090036014406
101.99,25.805471123938425,24.489795918367346
103.7,27.72623331032463,28.45138055222089
105.44,23.764715202646418,25.930372148859544
107.21,29.166837235255578,24.60984393757503
109.02,25.805471123938425,27.25090036014406
110.86,25.085197986974226,27.73109243697479
112.74,24.12484456524218,28.691476590636253
114.65,25.925517319333334,26.17046818727491
116.61,26.76584606772847,24.96998799519808
118.6,25.505356476164117,26.290516206482593
120.63,25.68542512070683,24.24969987995198
122.7,21.003780874677396,21.84873949579832
124.81,23.28454540930376,26.050420168067227
126.96,25.205243029399668,25.330132052821128
129.16,22.924420081861328,22.328931572629052
131.4,20.163516688619488,24.60984393757503
133.69,24.484975657220527,23.52941176470588
136.03,22.924420081861328,20.76830732292917
138.41,21.483936065107628,22.809123649459785
140.84,23.40458756941453,22.56902761104442
143.32,22.564296483739184,20.408163265306122
145.86,23.28454540930376,22.20888355342137
148.44,25.68542512070683,21.84873949579832
151.08,19.923442936076082,22.809123649459785
153.78,22.084134376264476,23.649459783913564
156.54,24.244888070413754,22.809123649459785
159.35,23.644672466085165,22.56902761104442
162.22,25.925517319333334,25.210084033613445
165.16,24.60501973885711,24.60984393757503
168.16,23.52462992167477,25.330132052821128
171.22,25.205243029399668,21.48859543817527
174.35,23.28454540930376,24.129651860744296
177.55,21.603975343059435,22.809123649459785
180.82,24.845108478600125,19.687875150060023
184.17,20.283553853087025,22.92917166866747
187.59,20.163516688619488,21.12845138055222
191.08,16.68252249314254,15.846338535414166
194.66,20.163516688619488,21.728691476590637
198.31,20.763704432278818,18.007202881152462
202.05,21.123819384079788,19.327731092436974
205.88,18.7230857010123,16.086434573829532
209.79,20.523628758417196,18.48739495798319
213.8,19.083190854213914,17.52701080432173
217.89,16.202398042419862,17.406962785114047
222.09,18.242948186454974,14.645858343337334
226.38,15.362187649784662,14.525810324129651
230.78,13.501755278015933,15.126050420168067
235.28,14.52198667020178,12.965186074429772
239.88,16.32242886693687,15.006002400960384
244.6,14.401958727231397,14.525810324129651
249.43,13.80182189382926,10.084033613445378
254.38,15.602246801440224,13.805522208883554
259.45,12.481537764505006,11.884753901560623
264.65,10.561165975924427,9.723889555822328
269.97,12.481537764505006,12.725090036014405
275.43,11.64136905644307,9.363745498199279
281.02,10.321122959767878,11.76470588235294
286.75,10.201101739801041,7.923169267707083
292.63,9.36095857804866,9.723889555822328
298.65,9.24093889464938,9.123649459783913
304.83,8.04075262427327,7.923169267707083
311.16,8.400806488715006,8.043217286914766
317.66,9.12091940331793,7.082833133253302
324.33,5.760451622769838,7.44297719087635
331.16,6.720569909868875,7.44297719087635
338.18,7.080617436391623,6.122448979591836
345.38,6.480539185788083,5.282112845138055
352.76,5.400410433915064,4.441776710684274
360.34,4.200285620598395,4.6818727490996395
368.12,5.640437701104724,4.201680672268908
376.11,3.000180011160727,5.642256902761105
384.31,3.2401995967711272,3.601440576230492
392.73,5.1603839349082214,3.9615846338535414
401.37,3.4802199505145643,3.9615846338535414
410.25,3.1201897079496437,3.12124849939976
419.36,1.8000936049106635,3.361344537815126
428.72,2.5201431443169056,2.0408163265306123
438.34,1.4400714275538693,2.6410564225690276
448.21,2.400134407680455,2.5210084033613445
458.36,2.76016119367783,2.4009603841536613
468.78,1.8000936049106635,2.1608643457382954
479.49,1.560078627982324,1.3205282112845138
490.49,0.8400383057410972,1.440576230492197
501.8,0.9600445460620227,1.56062424969988
513.41,0.8400383057410972,0.9603841536614646
525.35,0.0,0.6002400960384153
537.62,0.0,0.6002400960384153
550.23,0.0,0.24009603841536614
563.19,0.0,0.6002400960384153
576.51,0.0,0.12004801920768307
590.21,0.0,0.24009603841536614
604.28,0.0,0.0
618.75,0.0,0.0
633.63,0.0,0.0
648.92,0.0,0.0
